Team,Player,Rating,Goal,AS,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
TOT,Llois,7.6,0,0,0,0,24,15,0,0,0,0,0,0
TOT,Reguilón,7.1,0,0,0,0,13,11,0,0,0,0,0,0
TOT,Dier,6.8,0,0,0,0,24,16,0,0,1,0,0,0
TOT,Sánchez,7.2,0,0,1,0,31,21,0,0,4,4,1,0
TOT,Tanganga,6.9,0,0,0,0,20,18,1,0,3,2,0,0
TOT,Alli,6.7,0,0,0,0,22,17,1,1,10,3,0,0
TOT,Skipp,6.8,0,0,0,0,27,24,0,0,5,2,0,0
TOT,Højbjerg,7,0,0,1,0,40,31,3,3,6,2,0,0
TOT,Bergwijn,6.8,0,1,3,1,15,12,1,1,1,0,0,0
TOT,Heung-Min,7.6,1,0,5,1,28,25,1,1,0,0,0,0
TOT,Moura,8.1,0,0,3,1,36,29,10,6,3,1,1,0
TOT,Doherty,6.3,0,0,0,0,3,2,1,0,0,0,0,0
TOT,Romero,6.2,0,0,0,0,2,2,0,2,0,0,0,0
TOT,Celso,6.2,0,0,0,0,8,4,1,0,2,1,0,0
MCT,Ederson,6,0,0,0,0,15,14,0,0,0,0,0,0
MCT,Mendy,6.6,0,0,0,0,77,71,3,3,6,2,0,0
MCT,Aké,6.7,0,0,1,0,65,55,0,4,1,1,0,0
MCT,Dias,6.3,0,0,0,0,59,52,0,0,0,0,0,0
MCT,Cancelo,7.6,0,0,3,0,65,57,3,3,1,1,0,0
MCT,Greallish,7.3,0,0,3,1,50,44,4,2,4,2,1,0
MCT,Fernandinho,6.8,0,0,3,0,64,50,0,1,11,5,0,0
MCT,Gündogan,7.1,0,0,2,0,43,36,4,2,2,2,0,0
MCT,Sterling,6.4,0,0,1,1,30,25,6,2,0,0,0,0
MCT,Torres,6.4,0,0,2,1,19,13,1,1,2,1,0,0
MCT,Mahrez,6.4,0,0,2,0,29,27,2,2,2,1,0,0
MCT,Zinchenko,6.1,0,0,0,0,15,12,0,0,0,0,0,0
MCT,Jesus,6.3,0,0,0,0,5,5,1,1,0,0,0,0
MCT,Bruyne,6.6,0,0,1,1,12,8,3,2,1,1,0,0
