Team,Player,Rating,Goal,AS,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
TOT,Llois,7,0,0,0,0,14,9,0,0,0,0,0,0
TOT,Reguilón,7.3,0,0,1,0,30,27,1,0,4,4,0,0
TOT,Dier,7.1,0,0,1,1,59,54,0,0,0,0,0,0
TOT,Sánchez,7.3,0,0,2,0,61,55,0,0,5,3,0,0
TOT,Tanganga,7.1,0,0,1,1,43,38,1,0,4,1,0,0
TOT,Alli,6.8,0,0,2,1,33,28,0,1,3,3,1,0
TOT,Skipp,6.9,0,0,0,0,73,68,0,0,5,3,1,0
TOT,Højbjerg,7.9,0,0,1,1,91,79,2,3,3,3,0,0
TOT,Bergwijn,6.6,0,0,2,0,21,20,2,1,2,1,0,0
TOT,Kane,6.7,0,0,1,1,27,23,1,1,2,1,1,0
TOT,Heung-Min,8.1,1,0,3,2,37,29,5,6,0,0,0,0
TOT,Gill,6,0,0,0,0,0,0,0,0,0,0,0,0
TOT,Moura,6.4,0,0,1,1,11,9,2,2,1,0,0,0
WAT,Bachmann,7.2,0,0,0,0,27,14,0,0,0,0,0,0
WAT,Cathcart,6.6,0,0,0,0,20,71,0,0,0,0,0,0
WAT,Troost-Ekong,6.2,0,0,0,0,46,55,0,0,0,0,0,0
WAT,Sierralta,6.3,0,0,0,0,55,52,0,0,1,1,0,0
WAT,Masina,6.9,0,0,0,0,55,57,0,3,4,2,0,0
WAT,Etebo,6.7,0,0,0,0,31,44,3,2,1,1,1,0
WAT,Sarr,7.1,0,0,3,2,21,50,7,3,0,0,0,0
WAT,Sissoko,5.8,0,0,1,0,15,36,2,0,1,0,1,0
WAT,Kucka,6.3,0,0,2,0,28,25,0,0,5,3,0,0
WAT,Dennis,6.6,0,0,2,0,19,13,5,4,5,3,1,0
WAT,King,6.3,0,0,0,0,12,27,1,1,0,0,0,0
WAT,Hernández,6,0,0,1,0,7,12,1,0,3,1,0,0
WAT,Cleverley,6.3,0,0,0,0,9,5,0,0,1,1,0,0
WAT,Ngakia,6.5,0,0,0,0,19,8,0,0,4,4,0,0
